MLB ID,ESPNID,Last First,First Last,Team,H/A,Bats,FDpos,DSpos,DJpos,SSpos,AB,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,Pitcher MLB ID,Pitcher ESPNID,Pitcher Last First,Pitcher First Last,P team,Throws,Gametime
543543,32206,"Miller, Brad","Brad Miller",sea,A,L,6,6,6,6,6,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,450308,6479,"Weaver, Jered","Jered Weaver",laa,R,10:00 PM ET
545338,30661,"Franklin, Nick","Nick Franklin",sea,A,S,4,4,4,4,6,0,0,0,0,0,0,3,0,0,.000,.000,.000,.000,450308,6479,"Weaver, Jered","Jered Weaver",laa,R,10:00 PM ET
217100,4603,"Bloomquist, Willie","Willie Bloomquist",sea,A,R,6,6,6,4,7,0,0,0,0,0,0,4,0,0,.000,.000,.000,.000,450308,6479,"Weaver, Jered","Jered Weaver",laa,R,10:00 PM ET
424825,5299,"Crisp, Coco","Coco Crisp",oak,H,S,7,7,7,7,9,3,0,0,2,5,0,0,0,0,.333,.333,1.000,1.333,475416,28977,"Masterson, Justin","Justin Masterson",cle,R,10:05 PM ET
444379,29255,"Jaso, John","John Jaso",oak,H,L,2,0,2,2,13,4,1,0,2,5,1,1,0,0,.308,.400,.846,1.246,475416,28977,"Masterson, Justin","Justin Masterson",cle,R,10:05 PM ET
519390,31032,"Vogt, Stephen","Stephen Vogt",oak,H,L,2,2,7,2,2,1,0,0,0,0,1,0,0,0,.500,.667,.500,1.167,475416,28977,"Masterson, Justin","Justin Masterson",cle,R,10:05 PM ET
461235,28844,"Moss, Brandon","Brandon Moss",oak,H,L,3,3,3,3,11,4,1,0,1,2,0,1,0,0,.364,.364,.727,1.091,475416,28977,"Masterson, Justin","Justin Masterson",cle,R,10:05 PM ET
493316,32080,"Cespedes, Yoenis","Yoenis Cespedes",oak,H,R,7,7,7,7,14,5,1,0,1,2,1,1,1,0,.357,.400,.643,1.043,475416,28977,"Masterson, Justin","Justin Masterson",cle,R,10:05 PM ET
435558,6397,"Barton, Daric","Daric Barton",oak,H,L,3,3,3,3,12,5,0,0,0,2,2,2,0,1,.417,.500,.417,.917,475416,28977,"Masterson, Justin","Justin Masterson",cle,R,10:05 PM ET
346857,4946,"Punto, Nick","Nick Punto",oak,H,S,5,6,4,4,9,3,1,0,0,1,1,1,1,0,.333,.400,.444,.844,475416,28977,"Masterson, Justin","Justin Masterson",cle,R,10:05 PM ET
502210,30195,"Reddick, Josh","Josh Reddick",oak,H,L,7,7,7,7,18,4,0,0,2,3,1,4,1,0,.222,.263,.556,.819,475416,28977,"Masterson, Justin","Justin Masterson",cle,R,10:05 PM ET
430948,28541,"Callaspo, Alberto","Alberto Callaspo",oak,H,S,5,5,5,4,23,4,1,0,0,0,3,1,0,0,.174,.269,.217,.487,475416,28977,"Masterson, Justin","Justin Masterson",cle,R,10:05 PM ET
519299,29732,"Sogard, Eric","Eric Sogard",oak,H,L,4,4,4,4,8,1,1,0,0,1,1,1,0,0,.125,.222,.250,.472,475416,28977,"Masterson, Justin","Justin Masterson",cle,R,10:05 PM ET
453539,28905,"Fuld, Sam","Sam Fuld",oak,H,L,7,7,7,7,9,2,0,0,0,3,0,1,0,1,.222,.222,.222,.444,475416,28977,"Masterson, Justin","Justin Masterson",cle,R,10:05 PM ET
476704,29074,"Lowrie, Jed","Jed Lowrie",oak,H,S,6,6,6,6,11,2,0,0,0,0,1,2,0,0,.182,.250,.182,.432,475416,28977,"Masterson, Justin","Justin Masterson",cle,R,10:05 PM ET
518626,29563,"Donaldson, Josh","Josh Donaldson",oak,H,R,5,5,5,5,9,0,0,0,0,0,1,2,0,0,.000,.100,.000,.100,475416,28977,"Masterson, Justin","Justin Masterson",cle,R,10:05 PM ET
519083,30608,"Norris, Derek","Derek Norris",oak,H,R,2,2,2,2,3,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,475416,28977,"Masterson, Justin","Justin Masterson",cle,R,10:05 PM ET
