407781,"Byrd, Marlon","NYM","v mia",1,"F,1-2","H",1,4,,,,,,,2,1,,2,,,,,,,,6,,,,,,,,,,,,,,,,,,"RF",,6/8/2013
465784,"Cabrera, Everth","SDG","@ col",1,"F,4-2","H",1,4,3,1,,,1,1,1,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,"SS",,6/8/2013
408234,"Cabrera, Miguel","DET","v cle",1,"F,6-4","H",1,3,1,,,,1,,2,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,"3B",,6/8/2013
466320,"Cabrera, Melky","TOR","v tex",1,"F,4-3","H",1,4,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,"LF",,6/8/2013
456715,"Cain, Lorenzo","KAN","v hou",1,"F,7-2","H",1,3,1,1,,,1,2,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,"CF",,6/8/2013
430948,"Callaspo, Alberto","LAA","@ bos",1,"F,9-5","H",1,4,2,1,,,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,"3B",,6/8/2013
430948,"Callaspo, Alberto","LAA","@ bos",2,"F,2-7","H",1,4,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,"3B",,6/8/2013
429664,"Cano, Robinson","NYY","@ sea",1,"F,3-1","H",1,4,1,,,,,1,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,"2B",,6/8/2013
455077,"Carp, Mike","BOS","v laa",1,"F,5-9","H",1,5,3,,,1,2,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,"LF",,6/8/2013
572761,"Carpenter, Matt","STL","@ cin",1,"F,2-4","H",1,4,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"2B",,6/8/2013
425206,"Carroll, Jamey","MIN","@ was",1,"F,4-3","H",1,4,,,,,,,1,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,"3B",,6/8/2013
474892,"Carter, Chris","HOU","@ kan",1,"F,2-7","H",1,3,1,,,1,1,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,"1B",,6/8/2013
458210,"Casilla, Alexi","BAL","@ tam",1,"F,0-8","H",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2B",,6/8/2013
456078,"Castillo, Welington","CHC","v pit",1,"F,2-6","H",1,4,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,"C",,6/8/2013
488771,"Castro, Jason","HOU","@ kan",1,"F,2-7","H",1,4,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"C",,6/8/2013
516770,"Castro, Starlin","CHC","v pit",1,"F,2-6","H",1,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,"SS",,6/8/2013
493316,"Cespedes, Yoenis","OAK","@ chw",1,"F,1-4","H",1,4,,,,,,,,,,2,,,,,,,,3,,,,,,,,,,,,,,,,,,"LF",,6/8/2013
346795,"Chavez, Endy","SEA","v nyy",1,"F,1-3","H",,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,"PH",,6/8/2013
425783,"Choo, Shin-Soo","CIN","v stl",1,"F,4-2","H",1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CF",,6/8/2013
458085,"Coghlan, Chris","MIA","@ nym",1,"F,2-1","H",1,3,,,,,,1,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,"CF",,6/8/2013
502125,"Colvin, Tyler","COL","v sdg",1,"F,2-4","H",,2,,,,,,1,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,"1B",,6/8/2013
474233,"Conger, Hank","LAA","@ bos",2,"F,2-7","H",1,4,2,1,,,1,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,"C",,6/8/2013
446359,"Cozart, Zack","CIN","v stl",1,"F,4-2","H",1,4,,,,,,,,,,1,,,,,,,,4,1,,,,,,,,,,,,,,,,,"SS",,6/8/2013
501800,"Craig, Allen","STL","@ cin",1,"F,2-4","H",1,4,1,,,,,1,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,"1B",,6/8/2013
543063,"Crawford, Brandon","SFO","@ ari",1,"F,10-5","H",1,5,4,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SS",,6/8/2013
424825,"Crisp, Coco","OAK","@ chw",1,"F,1-4","H",1,4,2,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,"CF",,6/8/2013
460067,"Crowe, Trevor","HOU","@ kan",1,"F,2-7","H",1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RF-CF",,6/8/2013
458501,"Cruz, Luis","LAD","v atl",1,"F,1-2","H",1,3,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,"3B",,6/8/2013
443558,"Cruz, Nelson","TEX","@ tor",1,"F,3-4","H",1,6,,,,,,,1,1,1,1,,,,,,,,3,,,,,,,,,,,,,,,,,,"RF",,6/8/2013
458668,"Danks, Jordan","CHW","v oak",1,"F,4-1","H",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PR-CF",,6/8/2013
448801,"Davis, Chris","BAL","@ tam",1,"F,0-8","H",1,3,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,"1B",,6/8/2013
477195,"Davis, Ike","NYM","v mia",1,"F,1-2","H",1,2,,,,,1,,1,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,"1B",,6/8/2013
434658,"Davis, Rajai","TOR","v tex",1,"F,4-3","H",,5,2,,,,,1,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,"LF",,6/8/2013
457477,"De, Alejandro","CHW","v oak",1,"F,4-1","H",1,3,1,,,,1,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,"CF-LF",,6/8/2013
430203,"DeJesus, David","CHC","v pit",1,"F,2-6","H",1,4,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,"CF",,6/8/2013
136660,"DeRosa, Mark","TOR","v tex",1,"F,4-3","H",,2,,,,,,,1,,,1,,,,,,1,,2,,,,,,,,,,,,,,,,,,"PH-3B",,6/8/2013
456121,"Denorfia, Chris","SDG","@ col",1,"F,4-2","H",1,4,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,"RF-LF",,6/8/2013
435622,"Desmond, Ian","WAS","v min",1,"F,3-4","H",1,5,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,"SS",,6/8/2013
447736,"Dickerson, Chris","BAL","@ tam",1,"F,0-8","H",1,3,,,,,,,,,,3,,,,,,,,2,,,,,,,,,,,,,,,,,,"DH",,6/8/2013
518618,"Dietrich, Derek","MIA","@ nym",1,"F,2-1","H",1,8,1,,,,1,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,"2B",,6/8/2013
543108,"Dirks, Andy","DET","v cle",1,"F,6-4","H",1,5,2,,,,1,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,"LF",,6/8/2013
425785,"Dobbs, Greg","MIA","@ nym",1,"F,2-1","H",,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PH",,6/8/2013
